All Transactions Activity Types

Account Activity for Individual Brokerage -xxxx from Prior Year

Total:,-125305.18

Activity/Trade Date,Transaction Date,Settlement Date,Activity Type,Description,Symbol,Cusip,Quantity #,Price $,Amount $,Commission,Category,Note
12/31/25,12/31/25,12/31/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,423.45,0.0,--,--
12/31/25,12/31/25,12/31/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,-423.45,0.0,--,--
12/31/25,12/31/25,12/31/25,Dividend,REX OSPREY SOL STAKING ETF,SSK,--,,,41.1,0.0,--,--
12/31/25,12/31/25,12/31/25,Dividend,AMPLIFY CWP ENHANCED DIVIDEN,DIVO,--,,,286.02,0.0,--,--
12/31/25,12/31/25,12/31/25,Qualified Dividend,INTERCONTINENTAL EXCHANGE INC REC 12/31/25 PAY 12/31/25 RATE 0.00000000 QTY 0.00000000,ICE,--,,,96.0,0.0,--,--
12/31/25,12/31/25,12/30/25,Qualified Dividend,PETROLEO BRASILEIRO SA,PBR,--,,,0.33,0.0,--,--
12/31/25,12/31/25,12/30/25,Dividend,PETROLEO BRASILEIRO SA ADJ GROSS DIV AMOUNT      0.06 FOREIGN TAX PAID IS       0.06,PBR,--,,,0.0,0.0,--,--
12/31/25,12/31/25,12/31/25,Margin Interest,Thru 12/31/25 for 31 days,--,--,,,-1115.5,0.0,--,--
12/31/25,12/31/25,01/02/26,Sold Short,CALL LAR    01/16/26     5.000,LAR,--,-1.0,0.8,79.49,0.51,--,--
12/31/25,12/31/25,01/02/26,Sold Short,CALL LAR    01/16/26     5.000,LAR,--,-1.0,0.75,74.49,0.51,--,--
12/30/25,12/30/25,12/30/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,734.83,0.0,--,--
12/30/25,12/30/25,12/30/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,-734.83,0.0,--,--
12/30/25,12/30/25,12/30/25,Dividend,GRAYSCALE ETHEREUM COVRD CALL,ETCO,--,,,734.29,0.0,--,--
12/30/25,12/30/25,12/30/25,MISC,PETROLEO BRASILEIRO SA AGENT CUSTODY FEE $0.0050/SH,PBR,--,,,-0.04,0.0,--,--
12/30/25,12/30/25,12/30/25,Qualified Dividend,PETROLEO BRASILEIRO SA REC 12/30/25 PAY 12/30/25 RATE 0.00000000 QTY 0.00000000,PBR,--,,,0.58,0.0,--,--
12/30/25,12/30/25,12/31/25,Sold Short,CALL PBR    01/16/26    12.000,PBR,--,-1.0,0.2,19.49,0.51,--,--
12/29/25,12/29/25,12/26/25,Option Assigned,CALL ETSY   12/26/25    55.000,ETSY,--,1.0,,0.0,0.0,--,--
12/29/25,12/29/25,12/29/25,Sold,ETSY INC,ETSY,--,-100.0,55.0,5499.98,0.0,--,--
12/26/25,12/26/25,12/26/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,1997.89,0.0,--,--
12/26/25,12/26/25,12/26/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,-1997.89,0.0,--,--
12/26/25,12/26/25,12/26/25,Dividend,YIELDMAX ULTRA OPTION INC,ULTY,--,,,1026.9,0.0,--,--
12/26/25,12/26/25,12/26/25,Dividend,YIELDMAX UNIVERSE FO IN ETFS,YMAX,--,,,47.2,0.0,--,--
12/26/25,12/26/25,12/26/25,Dividend,ROUNDHILL BITCOIN CC STR ETF,YBTC,--,,,859.13,0.0,--,--
12/26/25,12/26/25,12/26/25,Dividend,NEOS S&P 500 HIGH INCOME ETF,SPYI,--,,,0.53,0.0,--,--
12/26/25,12/26/25,12/26/25,Dividend,NEOS NASDAQ-100 HIGH INC ETF,QQQI,--,,,64.13,0.0,--,--
12/26/25,12/26/25,12/29/25,Sold Short,CALL VWO    01/16/26    54.000,VWO,--,-1.0,0.7,69.49,0.51,--,--
12/26/25,12/26/25,12/29/25,Sold Short,CALL QQQI   01/16/26    55.000,QQQI,--,-1.0,0.4,39.49,0.51,--,--
12/24/25,12/24/25,12/24/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,185.36,0.0,--,--
12/24/25,12/24/25,12/24/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,-185.36,0.0,--,--
12/24/25,12/24/25,12/24/25,Dividend,VANGUARD SMALL CAP ETF,VB,--,,,185.36,0.0,--,--
12/24/25,12/24/25,12/24/25,Online Transfer,ACH WITHDRAWL  REFID:8037913395;,--,--,,,-20000.0,0.0,--,--
12/24/25,12/24/25,12/26/25,Sold Short,CALL LAR    01/16/26     5.000,LAR,--,-1.0,0.9,89.49,0.51,--,--
12/24/25,12/24/25,12/26/25,Sold Short,CALL LAR    01/16/26     5.000,LAR,--,-1.0,0.85,84.49,0.51,--,--
12/23/25,12/23/25,12/23/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,103.25,0.0,--,--
12/23/25,12/23/25,12/23/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,-103.25,0.0,--,--
12/23/25,12/23/25,12/23/25,Dividend,VANGUARD FTSE EMERGING MARKETS,VWO,--,,,103.25,0.0,--,--
12/23/25,12/23/25,12/24/25,Sold Short,CALL LAR    01/16/26     5.000,LAR,--,-1.0,0.85,84.49,0.51,--,--
12/23/25,12/23/25,12/24/25,Sold Short,CALL ICE    01/16/26   160.000,ICE,--,-1.0,4.0,399.49,0.51,--,--
12/23/25,12/23/25,12/24/25,Sold Short,CALL ICE    01/16/26   165.000,ICE,--,-1.0,1.5,149.49,0.51,--,--
12/22/25,12/22/25,12/23/25,Bought,PETROLEO BRASILEIRO SA UNSOLICITED TRADE,PBR,--,100.0,11.84,-1184.0,0.0,--,--
12/22/25,12/22/25,12/23/25,Bought,PETROLEO BRASILEIRO SA UNSOLICITED TRADE,PBR,--,100.0,11.83,-1183.0,0.0,--,--
12/22/25,12/22/25,12/19/25,Option Assigned,CALL IJH    12/19/25    66.000,IJH,--,1.0,,0.0,0.0,--,--
12/22/25,12/22/25,12/22/25,Sold,ISHARES S&P MIDCAP 400 INDEX,IJH,--,-100.0,66.0,6599.98,0.0,--,--
12/19/25,12/19/25,12/19/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,533.75,0.0,--,--
12/19/25,12/19/25,12/19/25,Transfer,TRNSFR CASH TO MARGIN,--,--,,,-533.75,0.0,--,--
12/19/25,12/19/25,12/19/25,Dividend,ISHARES MSCI POLAND ETF,EPOL,--,,,467.76,0.0,--,--
12/19/25,12/19/25,12/19/25,Dividend,ISHARES S&P MIDCAP 400 INDEX,IJH,--,,,65.99,0.0,--,--
12/19/25,12/19/25,12/22/25,Sold,GRAYSCALE ETHEREUM MINI TR ETF UNSOLICITED TRADE,ETH,--,-100.0,28.3,2829.98,0.0,--,--
12/19/25,12/19/25,12/22/25,Sold,DIREXION DAILY SEMI.BULL 3X UNSOLICITED TRADE,SOXL,--,-1.0,42.22,42.22,0.0,--,--
12/19/25,12/19/25,12/22/25,Sold,PLUG POWER INC UNSOLICITED TRADE,PLUG,--,-1.0,2.19,2.19,0.0,--,--
12/19/25,12/19/25,12/22/25,Sold To Close,CALL QQQ    12/19/25   595.000,QQQ,--,-1.0,21.86,2185.49,0.51,--,--
12/19/25,12/19/25,12/22/25,Sold,BIOLARGO INC UNSOLICITED TRADE,BLGO,--,-100.0,0.182,13.19,4.95,--,--
12/19/25,12/19/25,12/22/25,Sold,VALE S.A UNSOLICITED TRADE,VALE,--,-1.0,12.83,12.83,0.0,--,--
12/19/25,12/19/25,12/22/25,Sold,AVALO THERAPEUTICS INC NEW UNSOLICITED TRADE,AVTX,--,-1.0,19.19,19.19,0.0,--,--
12/19/25,12/19/25,12/22/25,Sold,SCHWAB US DVD EQUITY ETF UNSOLICITED TRADE,SCHD,--,-1.0,27.54,27.54,0.0,--,--
12/19/25,12/19/25,12/22/25,Bought,VANGUARD FTSE EMERGING MARKETS UNSOLICITED TRADE,VWO,--,100.0,53.26,-5326.0,0.0,--,--
12/19/25,12/19/25,12/22/25,Sold Short,CALL KDK    01/16/26    10.000,KDK,--,-1.0,0.55,54.49,0.51,--,--
12/19/25,12/19/25,12/22/25,Sold,OPENDOOR TECHNOLOGIES INC UNSOLICITED TRADE,OPEN,--,-1.0,6.24,6.24,0.0,--,--
12/19/25,12/19/25,12/22/25,Sold Short,CALL EPOL   01/16/26    35.000,EPOL,--,-1.0,0.5,49.49,0.51,--,--
12/19/25,12/19/25,12/22/25,Sold Short,CALL ETSY   12/26/25    55.000,ETSY,--,-1.0,0.88,87.49,0.51,--,--
12/19/25,12/19/25,12/22/25,Bought,ROUNDHILL BITCOIN CC STR ETF UNSOLICITED TRADE,YBTC,--,100.0,30.47,-3047.0,0.0,--,--
12/19/25,12/19/25,12/22/25,Sold Short,CALL LAR    01/16/26     5.000,LAR,--,-1.0,0.78,77.49,0.51,--,--
12/19/25,12/19/25,12/22/25,Sold,YIELDMAX ULTRA OPTION INC UNSOLICITED TRADE,ULTY,--,-200.0,38.8,7759.97,0.0,--,--
12/19/25,12/19/25,12/22/25,Sold Short,CALL IJH    01/16/26    67.000,IJH,--,-1.0,1.05,104.49,0.51,--,--
